rank	domain	rank_bucket	single_status	single_commit_success	single_commit_latency_ms	single_warning_count	single_error	single_reachable	attempt1_status	attempt1_commit_success	attempt1_commit_latency_ms	attempt1_warning_count	attempt1_error	attempt2_status	attempt2_commit_success	attempt2_commit_latency_ms	attempt2_warning_count	attempt2_error	attempt3_status	attempt3_commit_success	attempt3_commit_latency_ms	attempt3_warning_count	attempt3_error	attempt4_status	attempt4_commit_success	attempt4_commit_latency_ms	attempt4_warning_count	attempt4_error	rate_limit_429_count	hard_failure_count	warning_count	replay_stable	audit_timestamp	all_gates_pass
100106	neowing.co.jp	rank_100001_1000000	0	false	442	1	"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://neowing.co.jp/
Call log:
  - navigating to ""https://neowing.co.jp/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:21:05Z	false
100107	dealspotr.com	rank_100001_1000000	403	true	1324	0	RuntimeError: unacceptable main HTTP status: 403	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:21:06Z	false
100108	elciudadano.com	rank_100001_1000000	403	true	2364	0	RuntimeError: unacceptable main HTTP status: 403	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:21:09Z	false
100109	missouri.gov	rank_100001_1000000	403	true	1796	0	RuntimeError: unacceptable main HTTP status: 403	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:21:10Z	false
100110	love-internet.xyz	rank_100001_1000000	0	false	770	1	"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://love-internet.xyz/
Call log:
  - navigating to ""https://love-internet.xyz/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:21:09Z	false
100111	ngs55.ru	rank_100001_1000000	200	true	13629	106		true	200	true	11640	113		200	true	11608	119		200	true	11694	104		200	true	12847	114		0	0	450	true	2026-08-29T06:22:26Z	true
100112	gcloudplat.com	rank_100001_1000000	0	false	494	1	"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://gcloudplat.com/
Call log:
  - navigating to ""https://gcloudplat.com/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:21:11Z	false
100113	eknjizara.hr	rank_100001_1000000	403	true	2056	0	RuntimeError: unacceptable main HTTP status: 403	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:21:13Z	false
100114	dieboldnixdorf.com	rank_100001_1000000	200	true	15780	1		true	200	true	13826	1		200	true	14017	1		200	true	14552	1		200	true	15161	1		0	0	4	true	2026-08-29T06:22:42Z	true
100115	jobsyn.org	rank_100001_1000000	200	true	5003	0		true	200	true	6195	0		200	true	4029	0		200	true	4789	0		200	true	3738	0		0	0	0	true	2026-08-29T06:21:53Z	true
