rank	domain	rank_bucket	https_url	dns_success	main_commit_success	main_http_status	main_commit_latency_ms	domcontentloaded	domcontentloaded_latency_ms	subresource_failed_count	warning_count	policy_exclusion_reason	hard_failure_reason	reachable	audit_timestamp
1096	jimdo.com	rank_1001_100000	https://jimdo.com/	True	True	200	3315	True	4339	0	0			True	2026-08-28T08:17:58Z
1097	tabelog.com	rank_1001_100000	https://tabelog.com/	True	False	403	1322	False	0	0	0		RuntimeError:unacceptable_main_http_status:403	False	2026-08-28T08:18:20Z
1098	cloudinary.com	rank_1001_100000	https://cloudinary.com/	True	True	200	872	True	5597	7	1			True	2026-08-28T08:18:20Z
1099	aparat.com	rank_1001_100000	https://aparat.com/	True	True	200	2863	True	3763	1	1			True	2026-08-28T08:18:20Z
1100	split.io	rank_1001_100000	https://split.io/	True	True	200	2734	False	0	0	1			True	2026-08-28T08:18:20Z
1101	h264.io	rank_1001_100000	https://h264.io/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:18:20Z
1102	franceinfo.fr	rank_1001_100000	https://franceinfo.fr/	True	True	200	1770	True	2545	2	1			True	2026-08-28T08:18:20Z
1103	statuspage.io	rank_1001_100000	https://statuspage.io/	True	True	200	2988	True	5615	0	0	captcha_blocking		False	2026-08-28T08:18:20Z
1104	idnes.cz	rank_1001_100000	https://idnes.cz/	True	True	200	4231	True	10717	24	1			True	2026-08-28T08:18:20Z
1105	inkuai.com	rank_1001_100000	https://inkuai.com/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:18:35Z
1106	lge.com	rank_1001_100000	https://lge.com/	True	True	200	2967	True	6878	1	1			True	2026-08-28T08:18:35Z
