rank	domain	rank_bucket	https_url	dns_success	main_commit_success	main_http_status	main_commit_latency_ms	domcontentloaded	domcontentloaded_latency_ms	subresource_failed_count	warning_count	policy_exclusion_reason	hard_failure_reason	reachable	audit_timestamp
100094	101cookbooks.com	rank_100001_1000000	https://101cookbooks.com/	True	True	200	2135	True	4212	0	0			True	2026-08-28T08:53:22Z
100095	cdnhwcedi10.com	rank_100001_1000000	https://cdnhwcedi10.com/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:53:22Z
100096	amberstudent.com	rank_100001_1000000	https://amberstudent.com/	True	True	200	1292	True	1730	2	1			True	2026-08-28T08:53:22Z
100097	auserver.com.au	rank_100001_1000000	https://auserver.com.au/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:53:35Z
100098	wradio.com.co	rank_100001_1000000	https://wradio.com.co/	True	True	200	3443	True	8634	2	1			True	2026-08-28T08:53:35Z
100099	manifold.markets	rank_100001_1000000	https://manifold.markets/	True	True	200	721	True	1750	3	1			True	2026-08-28T08:53:35Z
100100	ifam.edu.br	rank_100001_1000000	https://ifam.edu.br/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:53:35Z
100101	ecoledirecte.com	rank_100001_1000000	https://ecoledirecte.com/	True	False	403	5761	False	0	0	0		RuntimeError:unacceptable_main_http_status:403	False	2026-08-28T08:53:35Z
100102	msoms-anime.net	rank_100001_1000000	https://msoms-anime.net/	True	True	200	2471	False	0	1	2			True	2026-08-28T08:53:35Z
100103	rcbcy.com	rank_100001_1000000	https://rcbcy.com/	True	True	200	2446	False	0	0	1			True	2026-08-28T08:53:35Z
100104	agfeo.de	rank_100001_1000000	https://agfeo.de/	True	True	200	2682	False	0	0	1			True	2026-08-28T08:53:35Z
